snapshot_date,week_start,project_id,equipment_type,commissioning_level,equipment_count,total_lines,completed_lines,open_lines,completion_pct,last_synced
2026-09-08,2026-09-07,40875,MCC,L1,1,21,21,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MCC,L2,1,40,0,40,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MCC,L3,1,26,0,26,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MDP,L1,24,498,498,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MDP,L2,24,1168,604,564,51.71,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MDP,L3,24,624,0,624,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MSB,L1,10,210,210,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MSB,L2,10,706,706,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MSB,L3,10,260,0,260,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MUP,L1,2,42,0,42,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MUP,L2,2,80,0,80,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MUP,L3,2,52,0,52,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MVS,L1,2,42,42,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MVS,L2,2,80,80,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,MVS,L3,2,52,14,38,26.92,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,OAF,L1,19,398,398,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,OAF,L2,19,755,0,755,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,OAF,L3,19,494,0,494,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PAC,L1,4,84,84,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PAC,L2,4,160,0,160,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PAC,L3,4,104,0,104,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PAS,L1,8,168,168,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PAS,L2,8,320,0,320,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PAS,L3,8,208,0,208,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PLC,L1,1,20,18,2,90.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PLC,L2,1,35,0,35,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,PLC,L3,1,26,0,26,0.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,RPP,L1,56,1120,1120,0,100.0,2026-09-08T13:35:08.662975+00:00
2026-09-08,2026-09-07,40875,RPP,L2,56,1960,0,1960,0.0,2026-09-08T13:35:08.662975+00:00
